depth	min	max	median	mean
0	-60	-60	-60	-60
1	-58	-50	-55	-55
2	-57	-40	-51	-50
3	-54	-33	-46	-46
4	-52	-25	-42	-41
5	-49	-18	-37	-36
6	-46	-11	-33	-32
7	-43	-4	-28	-27
8	-41	3	-24	-22
9	-38	9	-19	-18
10	-36	16	-15	-14
11	-33	22	-11	-9
12	-30	29	-7	-5
13	-26	36	-2	0
14	-24	43	3	4
15	-20	49	7	9
16	-17	55	12	14
17	-14	61	17	19
18	-11	68	22	24
19	-8	75	27	29
20	-4	82	32	33
21	-1	87	37	38
22	2	94	42	43
23	5	100	47	48
24	8	107	51	53
25	11	112	56	58
26	14	119	61	63
27	17	125	66	68
28	20	132	71	73
29	23	138	76	77
30	26	145	81	82
31	29	152	86	87
32	32	159	91	92
33	35	165	96	97
34	37	173	100	102
35	40	179	105	107
36	42	186	110	112
37	45	193	115	116
38	47	201	120	121
