depth	min	max	median	mean
0	-60	-60	-60	-60
1	-58	-51	-53	-54
2	-56	-42	-47	-47
3	-54	-34	-40	-41
4	-53	-25	-33	-34
5	-51	-22	-31	-32
6	-49	-19	-29	-30
7	-47	-18	-28	-29
8	-45	-17	-28	-28
9	-44	-17	-28	-28
10	-42	-16	-27	-27
11	-40	-16	-27	-27
12	-39	-15	-26	-26
13	-37	-14	-26	-26
14	-36	-14	-25	-25
15	-34	-13	-25	-25
16	-33	-13	-25	-24
17	-32	-12	-24	-24
18	-31	-11	-24	-23
19	-30	-10	-23	-22
20	-29	-10	-23	-22
21	-28	-9	-22	-21
22	-27	-7	-21	-20
23	-26	-6	-20	-19
24	-25	-4	-18	-17
25	-23	-2	-17	-16
26	-22	0	-15	-14
27	-19	3	-13	-12
28	-18	6	-12	-10
29	-16	9	-9	-8
30	-14	13	-7	-5
31	-13	17	-4	-2
32	-11	22	-1	1
33	-10	26	2	4
34	-9	30	5	7
35	-8	37	10	11
36	-7	45	14	16
37	-6	53	18	20
38	-5	60	23	24
39	-4	66	26	27
40	-3	71	28	30
41	-2	77	32	33
42	-2	83	35	37
43	-1	89	39	41
44	0	96	43	45
45	1	103	49	50
46	1	109	54	56
47	2	116	60	61
48	3	124	66	66
49	3	130	71	71
50	4	136	76	76
