labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.351273985661034,310.9068132,10.90901099,2,54.77890386,8.239723701
2,6,0.473524800653242,212.3645052,9.31034365,2,37.3087725,6.65779442
3,10,0.731509747325998,128.6783041,7.356491613,2,61.51144428,6.26868222
4,14,0.874921562918577,108.415508,6.377382824,2,54.97595444,5.077708048
5,18,0.865104617777051,103.2728928,6.834235552,2,44.2459316,5.113327001
6,22,0.889045521410084,91.83718409,5.88699898,2,57.58637611,5.114579457
7,26,0.980328850102179,64.69129343,6.256411357,2,51.83426336,5.347979553
8,30,0.942873490207965,49.76120587,5.586767239,2,70.85280337,6.794104433
9,34,0.949207195089641,66.42012084,6.760619442,2,54.84265327,5.072706149
10,38,0.959520226334091,55.29880393,5.907991873,2,56.26259286,5.521540416
11,42,0.914463536493953,68.61735879,6.55729026,2,55.62535343,6.389398705
12,46,0.992986661848131,56.98948237,6.718272312,2,58.80369085,6.472104339
13,50,1.10951250687999,61.66299678,6.851444087,2,58.04928339,6.851718695
14,54,1.13778729263231,64.00234409,7.009233374,2,67.12228541,6.301275774
15,58,1.1183836189492,54.89667394,6.788927694,2,59.16335387,6.291975729
16,62,1.08510549514002,50.54768526,6.821700887,2,58.7166845,6.019986969
17,66,1.1265787170277901,62.84890293,6.489832368,2,36.08824917,6.56968127
