labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.634186471,46.19470748200608,24.9637983471029,2
2,4,0.734489453,48.58790102591439,26.25708938177364,2
3,6,0.572788031,31.98404893672537,17.28430358155846,2
4,8,0.518208495,40.487015885068445,21.879339762558203,2
5,10,0.54408525,36.04444531844509,19.478557469236844,2
6,14,0.561611817,30.292301127112257,16.37007653098594,2
7,18,0.600969066,25.86965637176401,13.980062223039695,2
8,22,0.595678048,30.72419260310129,16.603472352761035,2
9,26,0.644372387,26.856072663120877,14.513125396852883,2
10,30,0.650483937,27.15741112456935,14.675969865318372,2
11,34,0.774327704,25.602351176103223,13.835609462856985,2
12,38,0.624792792,29.54095340639583,15.96404532068276,2
