depth	min	max	median	mean
0	-59	-59	-59	-59
1	-58	-50	-55	-55
2	-56	-41	-51	-50
3	-54	-34	-46	-45
4	-52	-24	-41	-41
5	-49	-18	-37	-36
6	-47	-10	-33	-32
7	-44	-3	-28	-27
8	-41	4	-24	-23
9	-39	11	-19	-18
10	-36	18	-15	-13
11	-33	24	-10	-8
12	-30	31	-5	-4
13	-27	38	0	1
14	-24	46	4	6
15	-20	51	9	11
16	-18	58	14	16
17	-15	64	19	20
18	-12	71	24	25
19	-9	77	29	30
20	-6	84	34	35
21	-2	89	39	40
22	2	96	44	45
23	5	102	48	50
24	8	109	53	55
25	11	114	58	60
26	14	120	63	64
27	18	126	68	69
28	21	132	73	74
29	25	138	78	79
30	28	144	83	84
31	31	150	88	89
32	34	157	93	93
33	37	162	98	98
34	39	168	102	103
35	43	175	107	108
36	46	182	112	113
37	48	189	117	117
38	51	197	121	122
