labID,age,error,depth,cc
surface,-61,1,0,0
C14_1,160,30,20.5,1
C14_2,1170,30,49.5,1
C14_3,1330,30,65.5,1
C14_4,1930,30,93.5,1
C14_5,2150,30,103.5,1
