depth	min	max	median	mean
0	-68	-68	-68	-68
1	-64	-63	-63	-63
2	-60	-57	-58	-58
3	-57	-54	-55	-55
4	-54	-50	-52	-52
5	-50	-46	-48	-48
6	-46	-41	-44	-44
7	-41	-36	-39	-39
8	-37	-31	-34	-34
9	-31	-24	-27	-27
10	-25	-17	-21	-21
11	-19	-10	-14	-14
12	-13	-2	-7	-7
13	-7	6	0	0
14	-1	14	7	7
15	5	25	15	15
16	11	35	23	23
17	17	48	33	33
18	23	61	42	42
19	28	70	48	48
20	32	80	55	55
21	35	89	61	61
22	38	99	66	67
23	40	106	71	72
24	43	114	77	77
25	45	123	82	82
26	48	132	87	87
27	50	140	91	92
28	52	148	96	97
29	54	157	100	101
30	56	166	104	106
31	57	176	108	110
32	59	187	112	115
