labID,age,error,depth,cc
surface,-65,1,0,0
C14_1,398,23,24.5,1
C14_2,379,24,26.5,1
C14_3,467,27,34.5,1
C14_4,502,27,44.5,1
C14_5,1741,28,54.5,1
C14_6,1940,26,64.5,1
C14_7,1788,29,84.5,1
