depth	min	max	median	mean
0	-61	-61	-61	-61
1	-59	-58	-58	-58
2	-57	-54	-56	-56
3	-55	-51	-53	-53
4	-53	-46	-51	-50
5	-51	-43	-48	-48
6	-49	-41	-46	-46
7	-46	-37	-43	-42
8	-44	-33	-39	-39
9	-40	-28	-35	-35
10	-37	-21	-30	-30
11	-33	-18	-26	-26
12	-30	-13	-23	-22
13	-27	-9	-19	-19
14	-25	-4	-16	-15
15	-22	0	-12	-12
16	-19	4	-9	-9
17	-16	10	-5	-5
18	-14	16	-2	-1
19	-10	21	2	3
20	-8	27	6	7
21	-4	35	11	12
22	-1	43	16	18
23	3	50	22	23
24	6	58	27	28
25	11	67	34	35
26	15	78	41	42
27	19	85	47	48
28	23	94	52	54
29	27	100	57	59
30	30	108	62	64
31	34	114	68	69
32	38	121	73	74
33	42	128	78	80
34	46	135	84	85
35	50	142	89	90
36	54	149	94	96
37	58	155	99	101
38	61	160	104	105
39	64	167	109	111
40	68	174	114	116
41	72	180	119	121
42	75	186	124	125
43	79	193	128	130
44	83	199	134	135
45	87	205	138	140
46	90	212	143	145
47	94	217	148	150
48	97	224	153	155
49	101	230	158	160
50	103	237	163	165
