study_id,site_id,core_id,horizon_min,horizon_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Adame_et_al_2013,MFA13 Cayo Culebra,M0174,0,100,0.41800000000000004,NA,0.13119999999999998
Adame_et_al_2013,MFA13 El Playon,M0179,0,100,0.39,NA,0.12519999999999998
Adame_et_al_2013,MFA13 Hualaxtoc,M0175,0,100,0.6525,NA,0.11375
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,0,100,0.2395,NA,0.3226
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,100,200,0.23,NA,0.35100000000000003
Adame_et_al_2013,MFA13 La Raya,M0178,0,100,0.6776470588235294,NA,0.0903529411764706
Adame_et_al_2013,MFA13 Laguna Negra,M0176,0,100,0.46399999999999997,NA,0.15675
Adame_et_al_2013,MFA13 Laguna Xamach,M0177,0,100,0.7025,NA,0.04775
AfSIS_Sentinel_Sites,Ihassunge-13-10,M1716,0,100,0.8503107457087955,NA,0.03126
AfSIS_Sentinel_Sites,Ihassunge-13-2,M1717,0,100,0.8850632008589014,NA,0.02208
AfSIS_Sentinel_Sites,Ihassunge-13-7,M1718,0,100,0.8234165742126331,NA,0.028020000000000003
AfSIS_Sentinel_Sites,Ihassunge-13-8,M1719,0,100,1.1250507026218908,NA,0.00982
AfSIS_Sentinel_Sites,Ihassunge-14-2,M1720,0,100,1.0080715294410456,NA,0.01906
AfSIS_Sentinel_Sites,Ihassunge-14-9,M1721,0,100,1.0376774078829334,NA,0.014860000000000002
AfSIS_Sentinel_Sites,Ihassunge-5-4,M1722,0,100,0.8676727338347084,NA,0.02354
AfSIS_Sentinel_Sites,Ihassunge-5-5,M1723,0,100,0.9390016626520337,NA,0.019180000000000003
AfSIS_Sentinel_Sites,Ihassunge-5-8,M1724,0,100,1.2966478389160754,NA,0.005299999999999999
AfSIS_Sentinel_Sites,Ihassunge-9-11,M1725,0,100,1.1097251905195376,NA,0.01038
AfSIS_Sentinel_Sites,Ihassunge-9-12,M1726,0,100,0.8222598394393814,NA,0.028320000000000005
AfSIS_Sentinel_Sites,Ihassunge-9-13,M1727,0,100,1.0520410498373058,NA,0.01242
AfSIS_Sentinel_Sites,Ihassunge-9-14,M1728,0,100,0.8651938059821909,NA,0.02656
AfSIS_Sentinel_Sites,Ihassunge-9-2,M1729,0,100,0.7838209569205559,NA,0.0372
AfSIS_Sentinel_Sites,Ihassunge-9-5,M1730,0,100,1.0634636152590393,NA,0.01348
AfSIS_Sentinel_Sites,Ihassunge-9-8,M1731,0,100,0.9974824540423571,NA,0.01856
AfSPDB,AO_1454_P213c/60,M1706,0,100,1.3858250841356607,NA,0.004958
AfSPDB,AO_1454_P213c/60,M1706,100,200,1.4536067449157033,NA,0.002410769230769231
AfSPDB,CD_SOTER_MA26,M1711,0,100,0.3226125195016911,NA,0.17642
AfSPDB,CD_SOTER_MA26,M1711,100,200,0.2636217730447771,NA,0.21100000000000002
AfSPDB,GW_6050_X/207,M1715,0,100,1.0658755203772523,NA,0.012160975609756097
Alongi_et_al_2000,DMA00 D1,M0028,0,100,NA,NA,0.043828735471600655
Alongi_et_al_2000,DMA00 D2,M0029,0,100,NA,NA,0.010268207100000001
Alongi_et_al_2000,DMA00 MB1,M0030,0,100,NA,NA,0.07489428124353088
Alongi_et_al_2000,DMA00 PH2,M0027,0,100,NA,NA,0.022117997198367743
Alongi_et_al_2001,DMA01 S1,M0732,0,100,NA,NA,0.0209638
Alongi_et_al_2001,DMA01 S2,M0733,0,100,NA,NA,0.019789076923076923
Alongi_et_al_2001,DMA01 S3,M0734,0,100,NA,NA,0.0467517
Alongi_et_al_2001,DMA01 S4,M0735,0,100,NA,NA,0.036399
Alongi_et_al_2004,DMA04 M2/5,M0270,0,100,NA,NA,0.03537111111111111
Alongi_et_al_2004,DMA04 M2/5,M0270,100,200,0.744867818850296,NA,0.03888
Alongi_et_al_2005,DMA05 JJ1,M0084,0,100,NA,NA,0.016711
Alongi_et_al_2005,DMA05 JJ2,M0085,0,100,NA,NA,0.00994952
Alongi_et_al_2005,DMA05 JJ3,M0086,0,100,NA,NA,0.013428183333333333
Andreetta_et_al_2014,AA14 AV1,M0180,0,100,NA,NA,0.0143725
Andreetta_et_al_2014,AA14 AV2,M0181,0,100,NA,NA,0.02755875
Andreetta_et_al_2014,AA14 AV3,M0182,0,100,NA,NA,0.015
Andreetta_et_al_2014,AA14 CER,M0183,0,100,NA,NA,0.007296250000000001
Andreetta_et_al_2014,AA14 RHI,M0184,0,100,0.7175,NA,0.05059875
Andreetta_et_al_2016,AA16 Cacheu,M0636,0,100,NA,NA,0.03149275
Andreetta_et_al_2016,AA16 Oio,M0637,0,100,NA,NA,0.01133025
Ashton_and_Macintosh_2002,ECA02 Plot 2,M0698,0,100,0.7533079392063351,NA,0.037520000000000005
Ashton_and_Macintosh_2002,ECA02 Plot 3,M0699,0,100,NA,NA,0.043460000000000006
AU_NatSoil,AU_399_BAC_T481,M1707,0,100,1.3612080225387941,NA,0.005031818181818182
AU_NatSoil,AU_399_REG_T276,M1708,0,100,0.7031605169625821,NA,0.07024999999999999
AU_NatSoil,AU_399_REG_T360,M1709,0,100,1.307735706556274,NA,0.0073625
AU_NatSoil,AU_399_REG_T360,M1709,100,200,1.5233986335302765,NA,0.0013
Banerjee_et_al_2012,KB12 Stn. 6,M0190,0,100,NA,NA,0.0118915
Banerjee_et_al_2012,KB12 Stn. 8,M0192,0,100,NA,NA,0.008156
Bhomia_et_al_2016_Honduras,RKB16 Big Bight,M0503,0,100,0.1855,NA,0.281255
Bhomia_et_al_2016_Honduras,RKB16 Big Bight,M0503,100,200,0.21,NA,0.182
Bhomia_et_al_2016_Honduras,RKB16 Big Bight,M0503,200,300,0.21,NA,0.182
Bhomia_et_al_2016_Honduras,RKB16 Chismuyo,M0490,0,100,0.6565,NA,0.055945
Bhomia_et_al_2016_Honduras,RKB16 Chismuyo,M0490,100,200,0.54,NA,0.0508
Bhomia_et_al_2016_Honduras,RKB16 Chismuyo,M0490,200,300,0.54,NA,0.0508
Bhomia_et_al_2016_Honduras,RKB16 El Canalito,M0494,0,100,0.0975,NA,0.41700499999999996
Bhomia_et_al_2016_Honduras,RKB16 El Canalito,M0494,100,200,0.14,NA,0.3874
Bhomia_et_al_2016_Honduras,RKB16 El Canalito,M0494,200,300,0.14,NA,0.3874
Bhomia_et_al_2016_Honduras,RKB16 El Marion,M0495,0,100,NA,NA,0.046145
Bhomia_et_al_2016_Honduras,RKB16 El Marion,M0495,100,200,NA,NA,0.0547
Bhomia_et_al_2016_Honduras,RKB16 El Marion,M0495,200,300,NA,NA,0.0547
Bhomia_et_al_2016_Honduras,RKB16 Iron Bound,M0504,0,100,0.254,NA,0.22335
Bhomia_et_al_2016_Honduras,RKB16 Iron Bound,M0504,100,200,0.41,NA,0.061200000000000004
Bhomia_et_al_2016_Honduras,RKB16 Isla de Pajaros,M0491,0,100,0.881,NA,0.04121
Bhomia_et_al_2016_Honduras,RKB16 Isla de Pajaros,M0491,100,200,0.85,NA,0.0344
Bhomia_et_al_2016_Honduras,RKB16 La Diamante,M0496,0,100,0.136,NA,0.37654499999999996
Bhomia_et_al_2016_Honduras,RKB16 La Diamante,M0496,100,200,0.2,NA,0.2751
Bhomia_et_al_2016_Honduras,RKB16 Laguna Quemada,M0497,0,100,0.101,NA,0.41034
Bhomia_et_al_2016_Honduras,RKB16 Laguna Quemada,M0497,100,200,0.09,NA,0.3625
Bhomia_et_al_2016_Honduras,RKB16 Laguna Quemada,M0497,200,300,0.09,NA,0.3625
Bhomia_et_al_2016_Honduras,RKB16 Manglon,M0498,0,100,0.14500000000000002,NA,0.299935
Bhomia_et_al_2016_Honduras,RKB16 Manglon,M0498,100,200,0.32,NA,0.2375
Bhomia_et_al_2016_Honduras,RKB16 Manglon,M0498,200,300,0.32,NA,0.2375
Bhomia_et_al_2016_Honduras,RKB16 Milton Bight,M0499,0,100,0.44999999999999996,NA,0.179365
Bhomia_et_al_2016_Honduras,RKB16 Milton Bight,M0499,100,200,NA,NA,0.0694
Bhomia_et_al_2016_Honduras,RKB16 Oyster Bed,M0506,0,100,0.1945,NA,0.35380999999999996
Bhomia_et_al_2016_Honduras,RKB16 Oyster Bed,M0506,100,200,0.18,NA,0.2965
Bhomia_et_al_2016_Honduras,RKB16 Oyster Bed,M0506,200,300,0.18,NA,0.2965
Bhomia_et_al_2016_Honduras,RKB16 Politily,M0500,0,100,0.3865,NA,0.105095
Bhomia_et_al_2016_Honduras,RKB16 Politily,M0500,100,200,0.78,NA,0.0362
Bhomia_et_al_2016_Honduras,RKB16 Politily,M0500,200,300,0.78,NA,0.0362
Bhomia_et_al_2016_Honduras,RKB16 San Bernardo,M0492,0,100,NA,NA,0.017410000000000002
Bhomia_et_al_2016_Honduras,RKB16 San Bernardo,M0492,100,200,0.71,NA,0.0182
Bhomia_et_al_2016_Honduras,RKB16 San Lorenzo,M0493,0,100,0.5585,NA,0.056095
Bhomia_et_al_2016_Honduras,RKB16 San Lorenzo,M0493,100,200,0.77,NA,0.0349
Bhomia_et_al_2016_Honduras,RKB16 The Bight,M0502,0,100,0.20450000000000002,NA,0.198395
Bhomia_et_al_2016_Honduras,RKB16 The Bight,M0502,100,200,0.2,NA,0.1558
Bhomia_et_al_2016_Honduras,RKB16 The Bight,M0502,200,300,0.2,NA,0.1558
Bhomia_et_al_2016_Honduras,RKB16 Turtle Harbor,M0507,0,100,0.19,NA,0.21809499999999998
Bhomia_et_al_2016_Honduras,RKB16 Turtle Harbor,M0507,100,200,0.65,NA,0.061399999999999996
Bhomia_et_al_2016_Honduras,RKB16 West End,M0501,0,100,NA,NA,0.032060000000000005
Bhomia_et_al_2016_Honduras,RKB16 West End,M0501,100,200,0.94,NA,0.023799999999999998
Bhomia_et_al_2016_Honduras,RKB16 Western Path,M0505,0,100,0.1965,NA,0.23887
Bhomia_et_al_2016_Honduras,RKB16 Western Path,M0505,100,200,0.21,NA,0.1869
Bhomia_et_al_2016_Honduras,RKB16 Western Path,M0505,200,300,0.21,NA,0.1869
Bhomia_et_al_2016_India,RKBEA16 D1,M0440,0,100,NA,NA,0.00999
Bhomia_et_al_2016_India,RKBEA16 D1,M0440,100,200,0.82,NA,0.0134
Bhomia_et_al_2016_India,RKBEA16 D2,M0441,0,100,0.9325,NA,0.014950000000000001
Bhomia_et_al_2016_India,RKBEA16 D2,M0441,100,200,NA,NA,0.01
Bhomia_et_al_2016_India,RKBEA16 P1,M0436,0,100,NA,NA,0.011053061224489796
Bhomia_et_al_2016_India,RKBEA16 S1,M0437,0,100,NA,NA,0.00885
Bhomia_et_al_2016_India,RKBEA16 S1,M0437,100,200,1.22,NA,0.0055000000000000005
Bhomia_et_al_2016_India,RKBEA16 S2,M0438,0,100,0.8290000000000001,NA,0.013385
Bhomia_et_al_2016_India,RKBEA16 S2,M0438,100,200,0.89,NA,0.011899999999999999
Bhomia_et_al_2016_India,RKBEA16 S3,M0439,0,100,0.862,NA,0.015165000000000001
Bhomia_et_al_2016_India,RKBEA16 S3,M0439,100,200,0.88,NA,0.0139
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,0,100,NA,NA,0.005850472527472528
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,0,100,0.82334,0.05450845,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,100,200,0.7196,0.0473,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ10,M1034,0,100,0.99637,0.0437296,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,0,100,NA,0.0454649,0.01251975
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,100,200,NA,0.079723,0.020657000000000002
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,0,100,NA,0.0394367,0.0070431999999999995
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,100,200,NA,0.038223,0.007399
Blue_Ventures_Unpublished,BV_Unpubl_MHJ13,M1037,0,100,0.91571,0.04073605,NA
