study_id,site_id,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min
Doughty_et_al_2016,MIT-9N,28.7098023,28.7090787,-80.7380332,-80.7390388
Osland_et_al_2016,Ten_Thousand_Islands,25.976839471,25.845753739,-81.52314862,-81.54749817999999
Schile-Beers_and_Megonigal_2017,Abu al Abyad 10 yr,24.204041800000002,24.2036722,53.8002018,53.8000602
Schile-Beers_and_Megonigal_2017,Abu al Abyad 3 yr,24.201522,24.201198,53.8027065,53.801848500000006
Schile-Beers_and_Megonigal_2017,Abu al Abyad 5 yr,24.2034324,24.2030316,53.80079860000001,53.8005754
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,25.4354,25.4354,55.47844,55.47844
Schile-Beers_and_Megonigal_2017,Al Khor,25.19062,25.19062,55.32697,55.32697
Schile-Beers_and_Megonigal_2017,Al Rams,25.8981,25.8981,56.03976,56.03976
Schile-Beers_and_Megonigal_2017,Al Shalila,24.6563792,24.6553328,54.672743600000004,54.6726044
Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,24.628255600000003,24.6272764,53.053904,53.053808
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,24.45626187701817,24.451982374816527,54.44209644569774,54.43231109732476
Schile-Beers_and_Megonigal_2017,Jubail Island,24.5200358,24.5188622,54.4713824,54.4692296
Schile-Beers_and_Megonigal_2017,Jubail Island East,24.5045904,24.4972416,54.5332951,54.5318899
Schile-Beers_and_Megonigal_2017,Kalba East,25.007509,25.007509,56.365198,56.365198
Schile-Beers_and_Megonigal_2017,Kalba North,25.01736,25.01736,56.35649,56.35649
Schile-Beers_and_Megonigal_2017,Kalba South,24.999839,24.999839,56.365198,56.365198
Schile-Beers_and_Megonigal_2017,Kalba West,25.00956,25.00956,56.35998,56.35998
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,25.77278,25.77278,55.94654,55.94654
Schile-Beers_and_Megonigal_2017,Salaam,24.450547,24.450307000000002,54.4104337,54.4093813
Schile-Beers_and_Megonigal_2017,Sinnia,25.56217,25.56217,55.60479,55.60479
Schile-Beers_and_Megonigal_2017,Umm al Quwain,25.543642000000002,25.532217999999997,55.647539,55.587791
Trettin_et_al_2017,1001,-18.831799,-18.831799,36.240201,36.240201
Trettin_et_al_2017,1079,-18.840148,-18.840148,36.264355,36.264355
