labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,3,0.12,113.166666893,2.000000004,1
2,4,0.16,104.000000208,1.833333337,1
3,5,0.12,75.500000151,1.5000000029999998,1
4,6,0.12,112.333333558,2.666666672,1
5,7,0.08,109.666666886,2.333333338,1
6,9,0.09,81.66666683,1.5000000029999998,1
7,10,0.14,30.166666727,1.000000002,1
8,11,0.11,26.500000053,0.666666668,1
9,12,0.07,22.000000044,0.666666668,1
10,13,0.12,22.500000045,0.500000001,1
11,14,0.14,22.333333378,0.666666668,1
12,15,0.1,23.33333338,0.500000001,1
