iteration,logOdds,memory,depth_code,accretion
1,-60.9831,0.363825,accRate[1],4.43747
1,-60.9831,0.363825,accRate[2],6.79295
1,-60.9831,0.363825,accRate[3],5.77392
1,-60.9831,0.363825,accRate[4],8.06098
1,-60.9831,0.363825,accRate[5],5.14728
1,-60.9831,0.363825,accRate[6],10.356
1,-60.9831,0.363825,accRate[7],9.19157
1,-60.9831,0.363825,accRate[8],21.6511
1,-60.9831,0.363825,accRate[9],22.3999
1,-60.9831,0.363825,accRate[10],7.15972
1,-60.9831,0.363825,accRate[11],3.24852
1,-60.9831,0.363825,accRate[12],1.48061
1,-60.9831,0.363825,accRate[13],1.20698
1,-60.9831,0.363825,accRate[14],1.74849
1,-60.9831,0.363825,accRate[15],4.7084
1,-60.9831,0.363825,accRate[16],5.14157
2,-60.9822,0.324309,accRate[1],4.15829
2,-60.9822,0.324309,accRate[2],6.76959
2,-60.9822,0.324309,accRate[3],5.21531
2,-60.9822,0.324309,accRate[4],8.20628
2,-60.9822,0.324309,accRate[5],4.9638
2,-60.9822,0.324309,accRate[6],12.4066
2,-60.9822,0.324309,accRate[7],10.0442
2,-60.9822,0.324309,accRate[8],20.2689
2,-60.9822,0.324309,accRate[9],25.5458
2,-60.9822,0.324309,accRate[10],9.65698
2,-60.9822,0.324309,accRate[11],3.67548
2,-60.9822,0.324309,accRate[12],1.20882
2,-60.9822,0.324309,accRate[13],1.63352
2,-60.9822,0.324309,accRate[14],2.49705
2,-60.9822,0.324309,accRate[15],4.06457
2,-60.9822,0.324309,accRate[16],12.3034
3,-60.9905,0.386464,accRate[1],5.88401
3,-60.9905,0.386464,accRate[2],5.7863
3,-60.9905,0.386464,accRate[3],5.70323
3,-60.9905,0.386464,accRate[4],9.33157
3,-60.9905,0.386464,accRate[5],5.71838
3,-60.9905,0.386464,accRate[6],12.4828
3,-60.9905,0.386464,accRate[7],11.7003
3,-60.9905,0.386464,accRate[8],19.3416
3,-60.9905,0.386464,accRate[9],30.2866
3,-60.9905,0.386464,accRate[10],12.1918
3,-60.9905,0.386464,accRate[11],8.04154
3,-60.9905,0.386464,accRate[12],1.5861
3,-60.9905,0.386464,accRate[13],1.73313
3,-60.9905,0.386464,accRate[14],3.01681
3,-60.9905,0.386464,accRate[15],4.6246
3,-60.9905,0.386464,accRate[16],3.39956
4,-60.9961,0.379484,accRate[1],6.65502
4,-60.9961,0.379484,accRate[2],6.03348
4,-60.9961,0.379484,accRate[3],5.88576
4,-60.9961,0.379484,accRate[4],9.39978
4,-60.9961,0.379484,accRate[5],5.4901
4,-60.9961,0.379484,accRate[6],12.766
4,-60.9961,0.379484,accRate[7],11.8116
4,-60.9961,0.379484,accRate[8],23.0228
4,-60.9961,0.379484,accRate[9],41.4412
4,-60.9961,0.379484,accRate[10],13.2062
4,-60.9961,0.379484,accRate[11],12.0631
4,-60.9961,0.379484,accRate[12],2.27869
4,-60.9961,0.379484,accRate[13],1.75598
4,-60.9961,0.379484,accRate[14],4.17812
4,-60.9961,0.379484,accRate[15],7.38032
4,-60.9961,0.379484,accRate[16],3.4353
5,-60.9885,0.415334,accRate[1],6.95129
5,-60.9885,0.415334,accRate[2],6.76262
5,-60.9885,0.415334,accRate[3],5.84794
5,-60.9885,0.415334,accRate[4],9.25494
5,-60.9885,0.415334,accRate[5],5.81923
5,-60.9885,0.415334,accRate[6],11.7328
5,-60.9885,0.415334,accRate[7],11.2339
5,-60.9885,0.415334,accRate[8],19.2734
5,-60.9885,0.415334,accRate[9],29.9876
5,-60.9885,0.415334,accRate[10],12.6748
5,-60.9885,0.415334,accRate[11],7.98494
5,-60.9885,0.415334,accRate[12],2.3273
5,-60.9885,0.415334,accRate[13],2.97579
5,-60.9885,0.415334,accRate[14],5.01634
5,-60.9885,0.415334,accRate[15],3.38143
5,-60.9885,0.415334,accRate[16],2.74216
6,-60.9826,0.401593,accRate[1],7.93247
6,-60.9826,0.401593,accRate[2],5.11855
6,-60.9826,0.401593,accRate[3],5.84619
6,-60.9826,0.401593,accRate[4],9.73213
6,-60.9826,0.401593,accRate[5],5.87062
6,-60.9826,0.401593,accRate[6],12.5031
6,-60.9826,0.401593,accRate[7],12.8921
6,-60.9826,0.401593,accRate[8],19.0587
