state,mean_core_distance,mean_huc8_distance,spatial_representativeness_metric
Pennsylvania,NaN,100855.05972894374,0
Rhode Island,891.0665470611392,35174.235136172094,0.025332933143009384
Mississippi,7878.536215894867,156378.81939347816,0.05038109538396633
New Hampshire,7320.4768581667495,71025.51118568006,0.10306827414489177
Alabama,9306.185390776956,73278.16649150499,0.1269980655405155
Maine,56279.01777906244,156538.61710022297,0.35952162361974943
Delaware,37631.33328443972,89752.73508061597,0.4192778442978839
California,182983.2408579661,405255.51758964674,0.4515256003084234
Georgia,56311.040987904045,117016.41590137794,0.4812234296712975
Virginia,55797.216684769526,107740.87310650702,0.5178834649837235
North Carolina,71352.34770860276,133740.90387478922,0.5335117801761246
Connecticut,39628.54831715545,72227.6346177776,0.5486618595066322
New Jersey,56964.78490546948,101571.51505547944,0.5608342543118975
Maryland,52891.07176492025,78927.81951200234,0.6701195103568931
Oregon,129259.08232874454,185644.23163938854,0.6962730874387123
Massachusetts,56094.503902457414,79780.55457710533,0.7031099771090698
South Carolina,83640.15155995546,112982.60077712816,0.740292319212458
New York,67667.38331888673,91313.0586878775,0.7410482606894657
Florida,264097.298367126,348954.1874168105,0.7568251303191078
Texas,177360.58684095505,219189.400056758,0.8091658939484684
Washington,115039.64082120071,140669.157292609,0.817802871896817
Louisiana,160288.38858743972,159097.16628337698,1.0074873885681974
