state,quantity_metric,quality_metric,mean_core_distance,mean_huc8_distance,spatial_representativeness_metric,euclidean_distance
OR,10.283848773252295,4.367871253155545,129259.08232874454,185644.23163938854,0.6962730874387123,0.7141467308223117
AL,6.04195856569069,NA,9306.185390776956,73278.16649150499,0.1269980655405155,0.9608095822569208
WA,4.511946051525809,1.0313019546344708,115039.64082120071,140669.157292609,0.817802871896817,0.2996514669448461
DE,3.1840952562875477,1.2077602696263112,37631.33328443972,89752.73508061597,0.4192778442978839,0.8386356686615251
MS,3.028703646155932,NA,7878.536215894867,156378.81939347816,0.05038109538396633,0.7893231399097529
TX,2.6258697252573473,0.012138072689941512,177360.58684095505,219189.400056758,0.8091658939484684,0.6712065125926812
CA,2.40291023373619,1.158237306908811,182983.2408579661,405255.51758964674,0.4515256003084234,0.8078084881878796
MA,2.125199408394866,0.7204065791169038,56094.503902457414,79780.55457710533,0.7031099771090698,0.971469027076665
NY,1.9684658853620927,NA,67667.38331888673,91313.0586878775,0.7410482606894657,0.8967248906656345
CT,1.8663405655640395,NA,39628.54831715545,72227.6346177776,0.5486618595066322,0.8899070743230414
NH,1.3565000653024732,NA,7320.4768581667495,71025.51118568006,0.10306827414489177,0.8698813214882936
LA,1.1962006382955641,0.070612724903791,160288.38858743972,159097.16628337698,1.0074873885681974,0.9184912043361118
MD,1.0651608091077216,0.018053573035724097,52891.07176492025,78927.81951200234,0.6701195103568931,0.7298832734871051
VA,0.9314192333860716,NA,55797.216684769526,107740.87310650702,0.5178834649837235,0.798698713727729
RI,0.8776086131908684,NA,891.0665470611392,35174.235136172094,0.025332933143009384,0.940095225628579
NJ,0.8118732691303626,0.19776400145483192,56964.78490546948,101571.51505547944,0.5608342543118975,0.849025692759044
ME,0.7669549369526106,0.03195645570635878,56279.01777906244,156538.61710022297,0.35952162361974943,0.3470943253772725
FL,0.7099187885801476,0.07160125120872733,264097.298367126,348954.1874168105,0.7568251303191078,0.8652701112459444
NC,0.3917896171882518,0.06780974143642819,71352.34770860276,133740.90387478922,0.5335117801761246,0.5921068459169161
GA,0.36971304919771625,0.08978745480515966,56311.040987904045,117016.41590137794,0.4812234296712975,0.6833533647916079
SC,0.2977383663820935,0.09161180504064415,83640.15155995546,112982.60077712816,0.740292319212458,0.8308555329105942
DC,NA,NA,NA,NA,NA,NA
PA,NA,NA,NaN,100855.05972894374,NA,NA
