depth	min	max	median	mean
0	-66	-66	-66	-66
1	-63	-55	-60	-60
2	-59	-50	-56	-55
3	-56	-45	-51	-51
4	-52	-39	-46	-46
5	-50	-35	-43	-43
6	-47	-31	-39	-39
7	-44	-27	-35	-35
8	-40	-23	-31	-31
9	-36	-19	-27	-27
10	-31	-15	-22	-22
11	-26	-10	-17	-17
12	-20	-3	-11	-11
13	-15	8	-5	-5
14	-11	16	1	1
15	-7	23	6	7
16	-3	33	12	13
17	2	41	18	19
18	6	48	23	24
19	10	54	29	30
20	13	61	34	35
21	17	67	39	40
22	21	74	44	45
23	24	81	49	50
24	28	87	54	55
25	32	94	59	60
26	35	100	64	65
27	39	106	69	70
28	42	113	74	75
29	45	119	79	80
30	49	126	84	85
31	51	134	89	90
32	54	141	94	95
