depth	min	max	median	mean
0	-65	-65	-65	-65
1	-64	-63	-64	-64
2	-64	-61	-63	-63
3	-63	-60	-62	-62
4	-63	-59	-61	-61
5	-62	-58	-60	-60
6	-61	-57	-59	-59
7	-60	-54	-58	-58
8	-59	-51	-57	-56
9	-58	-49	-55	-55
10	-57	-47	-54	-54
11	-56	-45	-52	-52
12	-55	-42	-50	-50
13	-53	-40	-49	-48
14	-52	-38	-47	-46
15	-50	-35	-44	-44
16	-48	-32	-42	-41
17	-45	-27	-38	-37
18	-42	-21	-34	-33
19	-39	-18	-30	-30
20	-36	-14	-27	-26
21	-32	-8	-21	-21
22	-28	0	-15	-15
23	-25	4	-12	-12
24	-22	9	-9	-8
25	-20	12	-6	-6
26	-18	16	-4	-3
27	-17	18	-3	-2
28	-16	20	-2	-1
29	-15	22	0	1
30	-13	25	2	3
31	-11	28	5	6
32	-9	32	8	9
33	-5	38	12	13
34	-2	45	17	18
35	1	49	20	21
36	4	53	24	25
37	7	57	28	29
38	10	62	31	32
39	14	67	37	38
40	17	74	43	44
41	21	79	47	48
42	24	84	51	52
43	27	88	55	56
44	30	93	59	60
45	34	97	63	64
46	37	102	67	68
47	41	106	71	71
48	44	110	75	75
49	47	114	78	79
50	50	119	82	83
51	54	122	86	87
52	57	127	90	90
53	61	131	94	94
54	64	135	97	98
55	68	138	101	102
56	71	142	105	106
57	75	146	109	109
58	78	149	113	113
59	82	153	116	117
60	85	157	120	120
61	87	161	123	124
62	90	164	127	127
63	94	167	130	131
64	97	171	134	134
65	101	175	138	138
66	104	179	141	141
67	108	183	145	145
68	111	187	149	149
69	115	190	152	152
70	118	193	156	156
71	122	196	160	160
72	124	200	163	163
73	128	203	167	167
74	132	207	171	170
75	135	210	174	174
76	138	213	178	178
77	142	216	182	181
78	146	220	186	185
79	150	223	189	189
80	153	226	193	192
81	157	229	196	196
82	161	233	200	199
83	165	236	204	203
84	168	239	208	207
85	172	242	212	211
86	176	246	215	214
87	180	248	219	218
88	184	251	223	221
89	188	254	226	225
90	191	258	230	229
91	196	260	234	232
92	199	263	238	236
93	203	266	241	240
94	206	269	245	243
95	210	271	249	247
96	214	274	253	250
97	218	277	257	254
98	222	279	260	258
99	226	282	264	262
100	230	285	269	265
