labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.18,344.500000689,19.333333372,2,11.500000023,2.5000000049999995
2,4,0.3,280.333333894,17.666666702,2,14.000000028,4.166666675
3,6,0.36,197.83333372899995,9.333333352,2,16.000000032,3.0000000059999996
4,8,0.33,122.166666911,5.833333345,2,10.666666688,2.166666671
5,10,0.16968465987331313,117.666666902,9.166666685,2,13.33333336,2.666666672
6,12,0.21,97.000000194,7.166666681,2,-1.66666667,1.833333337
7,14,0.18918400245643663,77.333333488,6.000000011999999,2,-1.333333336,1.5000000029999998
8,16,0.26,66.000000132,5.6666666779999995,2,15.500000031,2.8333333389999997
9,18,0.19,45.666666758,5.166666676999999,2,17.500000035,3.0000000059999996
10,20,0.3,33.3333334,4.000000008,2,17.166666700999997,2.5000000049999995
11,22,0.44,30.333333394,4.500000009,2,19.833333373,2.8333333389999997
12,24,0.2727725511898174,17.666666702,4.3333333419999995,2,19.666666705999997,2.8333333389999997
13,36,0.28871836925960637,14.500000029,2.666666672,2,23.666666714,2.166666671
