labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.2438,150.21833363377,9.49333335232,2,17.89333336912,1.16166666899
2,4,0.219,130.20833359375,11.23666668914,2,14.53833336241,1.36833333607
3,6,0.193,126.23000025246,8.45666668358,2,16.92500003385,1.1333333356000002
4,10,0.2066,58.113333449559995,10.81500002163,2,18.57833337049,1.61833333657
5,14,0.1811,73.11166681289,7.823333348979999,2,11.57166668981,0.72000000144
6,22,0.2461,32.15833339765,4.4866666756399995,2,8.90500001781,0.45833333424999995
7,28,0.4025,28.66166672399,5.73500001147,2,14.4333333622,0.8566666683799999
8,34,0.4025,38.61500007722999,5.56833334447,2,11.07166668881,0.60666666788
9,36,0.4025,130.33166692732996,4.73166667613,2,8.666666683999999,0.37666666742
