":beta[list(1,mangrove)]",":beta[list(1,marsh)]",":beta[list(1,mudflat)]",":beta[list(1,shrub)]",":beta[list(1,seagrass)]",":beta[list(1,swamp)]",":mu[list(hab,1)]",":tau[list(hab,1)]",":beta[list(2,mangrove)]",":beta[list(2,marsh)]",":beta[list(2,mudflat)]",":beta[list(2,shrub)]",":beta[list(2,seagrass)]",":beta[list(2,swamp)]",":mu[list(hab,2)]",":tau[list(hab,2)]",:tau[sample],:tau[study]
1,0.07,0.17,0.09,0.23,0.24,0.27,0.05,-0.94,-0.05,-0.16,-0.07,-0.13,-0.11,-0.17,-0.09,0,-0.08
0.07,1,0.09,0.1,0.06,-0.02,0.13,-0.04,-0.05,-0.97,-0.03,-0.08,-0.05,0.07,0.01,0.11,0.02,-0.03
0.17,0.09,1,0.18,0.2,0.3,0.41,0.27,-0.16,-0.08,-0.69,-0.13,-0.16,-0.28,-0.33,-0.25,0.02,-0.03
0.09,0.1,0.18,1,0.15,0.03,0.28,-0.14,-0.07,-0.1,-0.13,-0.98,-0.13,0.02,-0.09,0.11,-0,-0.04
0.23,0.06,0.2,0.15,1,0.17,0.35,0.13,-0.2,-0.06,-0.18,-0.14,-0.61,-0.11,-0.19,-0.05,-0.01,-0.05
0.24,-0.02,0.3,0.03,0.17,1,0.39,0.34,-0.22,0.03,-0.3,-0.01,-0.1,-0.58,-0.42,-0.47,0.02,-0.05
0.27,0.13,0.41,0.28,0.35,0.39,1,0.14,-0.24,-0.12,-0.31,-0.25,-0.25,-0.24,-0.25,-0.17,0,-0.05
0.05,-0.04,0.27,-0.14,0.13,0.34,0.14,1,-0.05,0.04,-0.21,0.15,-0.08,-0.17,-0.13,-0.14,0,-0.03
-0.94,-0.05,-0.16,-0.07,-0.2,-0.22,-0.24,-0.05,1,0.04,0.15,0.06,0.12,0.1,0.16,0.08,0,0.07
-0.05,-0.97,-0.08,-0.1,-0.06,0.03,-0.12,0.04,0.04,1,0.03,0.08,0.06,-0.07,-0.01,-0.12,-0.02,0.03
-0.16,-0.03,-0.69,-0.13,-0.18,-0.3,-0.31,-0.21,0.15,0.03,1,0.1,0.16,0.36,0.43,0.34,-0.02,0.02
-0.07,-0.08,-0.13,-0.98,-0.14,-0.01,-0.25,0.15,0.06,0.08,0.1,1,0.13,-0.03,0.08,-0.12,0,0.03
-0.13,-0.05,-0.16,-0.13,-0.61,-0.1,-0.25,-0.08,0.12,0.06,0.16,0.13,1,0.08,0.22,0.02,-0,0.04
-0.11,0.07,-0.28,0.02,-0.11,-0.58,-0.24,-0.17,0.1,-0.07,0.36,-0.03,0.08,1,0.68,0.81,-0.02,-0.01
-0.17,0.01,-0.33,-0.09,-0.19,-0.42,-0.25,-0.13,0.16,-0.01,0.43,0.08,0.22,0.68,1,0.65,-0.02,0.01
-0.09,0.11,-0.25,0.11,-0.05,-0.47,-0.17,-0.14,0.08,-0.12,0.34,-0.12,0.02,0.81,0.65,1,-0.01,-0.03
0,0.02,0.02,-0,-0.01,0.02,0,0,0,-0.02,-0.02,0,-0,-0.02,-0.02,-0.01,1,0
-0.08,-0.03,-0.03,-0.04,-0.05,-0.05,-0.05,-0.03,0.07,0.03,0.02,0.03,0.04,-0.01,0.01,-0.03,0,1
