labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.42,121.379393,17.06,2,8.835060117,1.01826114
2,4,0.43,51.02503979,7.59,2,17.11082413,1.641774108
3,8,0.48,39.20930423,5.8,2,15.14094813,1.385235103
4,14,0.59,39.98703614,6.04,2,19.90126701,1.785894098
5,22,0.55,36.12836748,5.38,2,19.61673564,1.69183016
6,26,0.6,32.53666499,4.96,2,19.14873338,1.687357259
7,32,0.55,27.26441451,4.37,2,16.43868042,1.552437014
8,36,0.65,25.14037888,4.18,2,18.33716504,1.681770609
9,38,0.67,24.46264424,4.05,2,20.85098995,1.850232109
10,40,0.72,24.79328327,3.85,2,19.80929247,1.683605312
11,54,0.68,20.11136082,3.22,2,17.65511177,1.506954164
12,70,0.84,13.5594431,2.76,2,18.18640629,1.660814877
