labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.142914066,115.60632835774392,62.47410636588266,2
2,4,0.242877517,89.70999372195203,48.47962710591936,2
3,6,0.285771543,60.13405629940142,32.496676287783245,2
4,8,0.239878331,65.79862690580114,35.557832122489444,2
5,10,0.330391515,50.89768868256252,27.505307552819566,2
6,12,0.199955197,41.048580779209416,22.182811600357113,2
7,14,0.289562967,39.609956719789096,21.40537360206156,2
8,16,0.249470068,32.96789165915869,17.815975988785134,2
9,18,0.263928411,26.237110641927117,14.17863592990226,2
