labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,1,0.4871666666666667,63.944673170363636,4.625035029346137,1,28.60608288503488,2.280678871178293
2,2,0.82,45.08788929848405,2.5940729608545845,1,29.13243732002698,1.416317255913468
3,3,0.7836,47.58337479003469,3.8795231603185476,1,31.02313712915645,2.1470062656797873
4,4,0.7386363636363636,34.67969105552627,0.9182150276083112,1,NA,NA
5,5,0.8018000000000001,32.80996320298537,0.937741697616417,1,NA,NA
6,6,1.1871875,21.51765745902844,0.6935181841824841,1,NA,NA
7,7,0.9906666666666666,24.06762839674039,0.7303397300806023,1,NA,NA
8,8,0.9759090909090908,25.77441496492901,0.7677176875587841,1,NA,NA
9,9,1.0459999999999998,21.475904925266413,0.6468919764233161,1,NA,NA
10,10,1.0783333333333334,18.14156626995463,0.5677765728288725,1,NA,NA
11,11,1.1096153846153844,17.93073375126512,0.5687428361789131,1,NA,NA
12,12,1.0346875,19.033842801275625,0.5976952566931714,1,NA,NA
13,13,1.0430769230769232,20.632824663301346,0.6525164505408821,1,NA,NA
14,14,1.0117647058823531,20.50047387959775,0.661048311109084,1,NA,NA
15,15,1.0042857142857142,18.28166316110734,0.6247959834168736,1,NA,NA
16,16,1.151875,18.011217675925582,0.5625246553157879,1,NA,NA
17,17,1.0939285714285714,16.275534474356295,0.5234368647841036,1,NA,NA
18,18,1.1506666666666667,14.361501820880951,0.49073001640810465,1,NA,NA
19,19,1.163846153846154,12.899791617210177,0.44940843201036307,1,NA,NA
20,20,1.185625,11.67956590912706,0.41401296381223907,1,NA,NA
21,21,1.255294117647059,11.479971496934793,0.4352461111749392,1,NA,NA
22,22,1.3033333333333337,9.139560661049464,0.4203135520149381,1,NA,NA
