depth	min	max	median	mean
0	-64	-64	-64	-64
1	-62	-62	-62	-62
2	-61	-59	-60	-60
3	-60	-57	-58	-58
4	-58	-55	-57	-57
5	-57	-53	-55	-55
6	-55	-51	-53	-53
7	-53	-48	-51	-51
8	-52	-45	-49	-49
9	-50	-42	-46	-46
10	-48	-38	-44	-44
11	-46	-35	-41	-41
12	-43	-32	-39	-39
13	-42	-31	-37	-37
14	-40	-29	-35	-35
15	-38	-27	-33	-33
16	-37	-25	-31	-31
17	-34	-22	-29	-29
18	-32	-20	-27	-26
19	-29	-16	-23	-23
20	-26	-13	-20	-20
21	-21	-6	-15	-14
22	-16	0	-9	-9
23	-12	6	-3	-3
24	-7	13	2	3
25	-3	20	7	7
26	0	26	12	12
27	5	36	19	19
28	10	45	25	26
29	15	55	33	33
30	20	66	41	41
31	24	73	46	47
32	27	82	52	53
33	30	87	56	57
34	32	94	60	61
35	34	101	64	65
36	36	109	68	69
37	39	116	73	75
38	42	125	78	80
39	44	132	83	85
40	47	140	88	90
