labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.16,260.228603405,11.333333356,2
2,4,0.16,189.39526993,12.166666691,2
3,12,0.27,132.061936482,8.666666683999999,2
4,14,0.17,119.228603123,6.833333347,2
5,16,0.21,100.728603086,7.166666681,2
6,18,0.19,110.061936438,5.833333345,2
7,20,0.24,107.7286031,7.000000013999999,2
8,22,0.39,101.895269755,6.1666666789999995,2
9,24,0.33,86.22860305699999,5.166666676999999,2
10,26,0.19,84.061936386,5.500000011,2
11,28,0.29,69.728603024,4.833333343,2
12,30,0.48,50.561936319,3.666666674,2
13,32,0.57,38.728602962,5.000000009999999,2
14,34,0.33,34.728602954,3.666666674,2
15,36,0.22,37.395269626,2.5000000049999995,2
16,38,0.24,43.561936305,3.666666674,2
17,40,0.29,27.72860294,1.66666667,2
