labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.699574395,40.483238293456935,21.877298337460665,2
2,4,0.768810332,26.697401337185777,14.427378799460657,2
3,6,0.774157938,40.93683326112173,22.122422809965553,2
4,8,0.567581895,41.761495757721846,22.56807360832947,2
5,10,0.659396614,41.09821092671561,22.209631923762434,2
6,12,0.504514097,31.95384149885588,17.267979365459674,2
7,16,0.539542331,30.232462501113915,16.33773950637393,2
8,20,0.608268973,30.020159629057936,16.223010214309884,2
9,24,0.530459889,32.702177177355765,17.67238285651523,2
10,28,0.598903588,29.55570203751251,15.972015537903772,2
11,32,0.464873905,25.306313810445115,13.675629727031724,2
12,36,0.474154407,24.885358404307983,13.448143799644404,2
13,40,0.532270719,28.732798890209132,15.527315498695172,2
14,44,0.528932002,24.335785372430383,13.151152410530347,2
