depth	min	max	median	mean
0	-67	-67	-67	-67
1	-63	-62	-63	-63
2	-60	-57	-59	-59
3	-55	-51	-54	-54
4	-51	-45	-49	-49
5	-47	-39	-44	-44
6	-43	-33	-39	-39
7	-39	-26	-34	-34
8	-35	-20	-29	-29
9	-32	-15	-26	-25
10	-30	-9	-22	-21
11	-27	-5	-19	-18
12	-25	0	-16	-15
13	-23	3	-14	-12
14	-21	7	-12	-10
15	-19	9	-10	-8
16	-18	13	-8	-6
17	-16	16	-6	-4
18	-15	20	-4	-2
19	-13	25	-1	1
20	-12	30	1	4
21	-11	34	3	6
22	-9	39	5	8
23	-8	44	8	10
24	-8	48	10	13
25	-7	53	12	15
26	-6	58	14	17
27	-5	64	16	20
28	-4	70	18	22
