depth	min	max	median	mean
0	-60	-60	-60	-60
1	-57	-54	-56	-56
2	-55	-49	-52	-52
3	-52	-43	-48	-48
4	-49	-36	-44	-44
5	-46	-30	-40	-40
6	-43	-24	-36	-35
7	-39	-18	-31	-30
8	-36	-11	-26	-25
9	-31	-2	-20	-19
10	-27	9	-14	-13
11	-23	16	-8	-7
12	-19	24	-2	-1
13	-16	32	3	4
14	-12	40	8	10
15	-8	47	14	15
16	-5	54	19	21
17	-1	62	25	26
18	2	71	30	32
19	6	77	35	37
20	9	84	41	42
21	13	91	46	47
22	16	98	51	52
23	20	104	56	57
24	23	110	61	63
25	26	116	66	68
26	29	122	71	73
27	32	129	76	78
28	35	136	81	83
29	39	142	86	87
30	42	149	91	92
31	45	156	96	97
32	47	163	101	102
33	50	169	106	107
34	53	176	111	112
35	56	183	116	117
36	58	191	121	122
37	61	199	126	126
38	62	207	130	131
