labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.265767955771048,131.290131,7.553302516,2,28.94829786,5.997256927
2,6,0.478080858937678,134.90853860000001,7.207936166,2,38.67985165,6.235542836
3,10,0.456502392911009,117.5235309,6.967798273,2,27.9380055,5.290585759
4,14,0.265165543141736,104.273968,6.692809239,2,39.48104837,6.37512679
5,18,0.195068917202135,106.2126929,7.299841439,2,15.87686165,8.255968057
6,22,0.194168121604507,125.4804743,7.206119623,2,28.31592994,7.380929605
7,26,0.353738155407372,25.18482572,4.90083095,2,35.26745135,6.391512219
8,30,0.291579524927604,26.98655415,5.002385647,2,21.81021214,6.904740526
9,34,0.167419638224404,12.52833874,4.971562993,2,23.51011889,9.0557495
10,38,0.195030120780096,13.59941476,7.349176263092375,2,24.70710025,8.077321237
11,42,0.176738944699289,10.94740202,4.824278857,2,39.5752263,2.142418417
12,46,0.167595152605458,9.496392384,5.1318871234650105,2,21.65247209,6.662299104
13,50,0.161929855904084,7.397317871,3.612643612,2,28.28583942,6.401532079
