labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.336984067,55.90197476199644,30.209643078850643,2
2,4,0.418301632,56.89426062972446,30.745878194405627,2
3,6,0.54624806,42.01626125656568,22.7057498679186,2
4,8,0.43454251,43.93331147046198,23.74173120798054,2
5,10,0.541070219,36.64642847203122,19.803871490552613,2
6,12,0.475993531,35.14317485711158,18.99150743083809,2
7,16,0.431996031,32.68848289750268,17.664982414789424,2
8,20,0.278811166,27.672672803053903,14.954419266533622,2
9,24,0.34352003,38.47729631390935,20.793279543902543,2
10,28,0.424441476,25.312091203365952,13.67875185248092,2
11,32,0.438192463,26.739717551176476,14.450246644944649,2
12,36,0.563960236,23.808921830079544,12.866433317270372,2
