depth	min	max	median	mean
0	-60	-60	-60	-60
1	-59	-59	-59	-59
2	-58	-57	-58	-58
3	-57	-56	-57	-57
4	-56	-55	-56	-56
5	-55	-53	-54	-54
6	-54	-52	-53	-53
7	-53	-51	-52	-52
8	-52	-50	-51	-51
9	-51	-48	-50	-50
10	-51	-47	-49	-49
11	-50	-46	-48	-48
12	-49	-45	-47	-47
13	-48	-43	-46	-46
14	-47	-42	-45	-45
15	-46	-41	-44	-44
16	-45	-40	-43	-43
17	-44	-39	-42	-42
18	-43	-38	-41	-41
19	-42	-36	-40	-40
20	-41	-35	-39	-39
21	-40	-34	-38	-38
22	-39	-33	-37	-37
23	-39	-32	-36	-36
24	-38	-31	-35	-35
25	-37	-30	-34	-34
26	-36	-29	-33	-33
27	-35	-28	-32	-32
28	-34	-27	-31	-31
29	-33	-26	-30	-30
30	-32	-25	-29	-29
31	-31	-24	-28	-28
32	-31	-23	-27	-27
33	-30	-22	-26	-26
34	-29	-21	-25	-25
35	-28	-20	-24	-24
36	-27	-19	-23	-23
37	-26	-18	-22	-22
38	-26	-17	-21	-21
39	-25	-16	-21	-21
40	-24	-15	-20	-20
41	-23	-14	-19	-19
42	-22	-13	-18	-18
43	-22	-13	-17	-17
44	-21	-12	-16	-16
45	-20	-11	-15	-15
46	-20	-10	-15	-15
47	-19	-9	-14	-14
48	-18	-8	-13	-13
49	-17	-7	-12	-12
50	-17	-6	-11	-11
51	-16	-5	-10	-11
52	-16	-4	-10	-10
53	-15	-3	-9	-9
54	-15	-2	-8	-8
55	-14	-1	-7	-7
56	-14	0	-7	-7
57	-13	1	-6	-6
