depth	min	max	median	mean
0	-66	-66	-66	-66
1	-62	-60	-61	-61
2	-58	-55	-56	-56
3	-54	-50	-52	-52
4	-50	-45	-47	-47
5	-47	-41	-44	-44
6	-44	-37	-41	-41
7	-42	-34	-38	-38
8	-40	-32	-36	-36
9	-38	-29	-33	-33
10	-36	-26	-31	-31
11	-34	-24	-28	-29
12	-33	-21	-26	-26
13	-31	-18	-24	-24
14	-29	-15	-21	-21
15	-26	-12	-18	-19
16	-24	-9	-15	-16
17	-21	-6	-12	-12
18	-18	-2	-9	-9
19	-16	3	-6	-6
20	-13	6	-2	-3
21	-10	11	1	1
22	-7	15	4	4
23	-4	20	8	8
24	-2	25	11	12
25	1	29	15	15
26	4	34	19	19
27	7	38	22	22
28	10	43	26	26
29	13	47	30	30
30	16	51	33	34
31	20	56	37	37
32	23	61	41	41
33	27	66	45	45
34	30	70	49	49
35	34	75	53	53
36	37	79	57	57
37	41	84	61	61
38	44	88	65	65
39	47	92	69	69
40	51	97	72	73
41	54	101	76	77
42	57	106	80	81
43	61	110	84	84
44	64	114	88	88
45	68	118	92	92
46	71	122	96	96
47	75	126	99	100
48	78	131	103	103
49	82	134	107	107
50	85	138	111	111
51	88	142	115	115
52	92	146	118	118
53	96	150	122	122
54	99	154	126	126
55	103	157	130	130
56	106	161	134	134
57	110	165	137	137
58	113	169	141	141
59	117	173	145	145
60	120	177	149	149
61	124	180	153	153
62	127	184	156	156
63	131	187	160	160
64	135	191	164	164
65	138	195	168	167
66	142	198	171	171
67	146	201	175	175
68	150	205	179	179
69	154	208	183	182
70	158	211	186	186
71	161	214	190	190
72	165	218	194	193
73	168	221	198	197
74	172	224	201	200
75	175	227	205	204
76	179	231	208	208
77	183	233	212	211
78	187	236	216	215
79	191	239	219	218
80	194	242	223	221
81	197	245	226	225
82	201	247	229	228
83	204	249	233	231
84	208	252	236	234
85	211	254	239	237
86	214	256	242	240
87	217	258	245	243
88	220	260	248	246
89	222	262	251	248
90	224	264	253	251
