depth	min	max	median	mean
0	-64	-64	-64	-64
1	-62	-61	-62	-62
2	-61	-59	-60	-60
3	-59	-57	-58	-58
4	-57	-54	-56	-56
5	-56	-53	-54	-54
6	-54	-51	-53	-53
7	-53	-49	-51	-51
8	-51	-47	-49	-49
9	-49	-44	-47	-47
10	-47	-42	-44	-44
11	-44	-39	-42	-41
12	-42	-35	-39	-39
13	-39	-32	-35	-35
14	-36	-28	-32	-32
15	-32	-24	-28	-28
16	-29	-20	-25	-25
17	-26	-15	-21	-21
18	-22	-11	-17	-17
19	-20	-8	-14	-14
20	-17	-4	-11	-11
21	-14	0	-8	-8
22	-11	4	-5	-4
23	-9	7	-2	-2
24	-7	11	1	1
25	-4	14	4	4
26	-2	18	7	7
27	2	23	11	11
28	5	28	15	15
29	8	34	19	20
30	12	40	24	25
31	16	48	29	30
32	20	56	35	36
33	24	64	41	42
34	29	72	47	48
35	33	82	54	55
36	37	92	61	62
37	42	102	68	69
38	47	113	76	77
39	50	120	81	82
40	53	127	86	87
41	56	134	91	92
42	59	142	96	97
43	61	149	100	101
44	64	157	105	106
45	66	165	109	111
46	68	175	113	115
