labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.18,209.061936636,11.833333357,2
2,4,0.17,194.561936607,14.166666694999998,2
3,6,0.15,136.22860315699998,12.166666691,2
4,8,0.13,196.728603278,14.833333363,2
5,10,0.19,150.228603185,11.66666669,2
6,14,0.17,167.061936552,13.33333336,2
7,16,0.19,146.728603178,14.166666694999998,2
8,18,0.19,115.561936449,8.833333351,2
9,20,0.18,88.561936395,7.166666681,2
10,22,0.15,100.228603085,11.333333356,2
11,24,0.13,72.895269697,8.833333351,2
12,26,0.14,66.561936351,9.000000018,2
13,28,0.14,105.728603096,10.500000021,2
14,30,0.14,70.061936358,7.166666681,2
15,32,0.16,66.728603018,6.333333346,2
16,34,0.2,54.061936325999994,7.166666681,2
17,36,0.13,54.561936327,6.1666666789999995,2
18,38,0.18,59.561936337000006,5.500000011,2
19,40,0.16,27.061936272,3.0000000059999996,2
20,42,0.27,46.561936311,5.000000009999999,2
21,44,0.21,28.561936275,2.333333338,2
22,46,0.35,34.061936286,3.0000000059999996,2
