labID,age,error,depth,cc
surface,-64,1,0,0
historical_horizon_1,-22.030303030303003,3.0617059729752603,6,0
historical_horizon_2,1.1298701298699143,15.925869763100875,9,0
historical_horizon_3,25.96590909090901,18.599863785824898,13.5,0
historical_horizon_4,49.130526315789666,17.488243522316523,22,0
C14_1,155,15,32,1
C14_2,315,15,42.5,1
C14_3,350,15,45.5,1
C14_4,500,15,53,1
C14_5,320,15,55,1
C14_6,525,15,59,1
C14_7,630,20,65,1
C14_8,1140,15,74,1
C14_9,1240,20,80,1
C14_10,1810,15,87,1
C14_11,1940,20,95,1
C14_12,2150,20,100,1
C14_13,2140,15,106.5,1
C14_14,2120,20,110,1
C14_15,2100,20,120,1
C14_16,2180,15,120,1
