depth	min	max	median	mean
0	-64	-64	-64	-64
1	-63	-62	-62	-62
2	-61	-60	-60	-60
3	-57	-56	-56	-56
4	-54	-53	-53	-53
5	-52	-50	-51	-51
6	-49	-47	-48	-48
7	-45	-42	-43	-43
8	-39	-37	-38	-38
9	-33	-30	-32	-32
10	-29	-26	-28	-28
11	-26	-22	-24	-24
12	-20	-16	-18	-18
13	-13	-8	-11	-11
14	-8	-3	-6	-6
15	-4	3	-1	-1
16	1	8	4	5
17	5	14	9	9
18	12	22	17	17
19	19	31	25	25
20	28	42	34	34
21	32	48	39	39
22	36	53	43	44
23	40	59	49	49
24	44	65	54	54
25	49	73	60	60
26	54	80	66	66
27	58	86	71	71
28	63	93	76	77
29	67	100	82	83
30	72	107	88	89
31	76	116	94	95
32	80	124	100	100
33	82	131	104	105
34	85	138	109	109
35	90	146	115	115
36	94	153	121	122
37	97	159	125	126
38	100	165	129	130
39	103	170	134	135
40	107	177	139	140
